Date,AQI
2020-01-28 00:00:00+00:00,82
2020-01-29 00:00:00+00:00,48
2020-01-30 00:00:00+00:00,54
2020-01-31 00:00:00+00:00,64
2020-02-01 00:00:00+00:00,84
2020-02-02 00:00:00+00:00,79
2020-02-03 00:00:00+00:00,73
2020-02-04 00:00:00+00:00,80
2020-02-05 00:00:00+00:00,86
2020-02-06 00:00:00+00:00,92
2020-02-07 00:00:00+00:00,72
2020-02-08 00:00:00+00:00,96
2020-02-09 00:00:00+00:00,94
2020-02-10 00:00:00+00:00,71
2020-02-11 00:00:00+00:00,84
2020-02-12 00:00:00+00:00,100
2020-02-13 00:00:00+00:00,116
2020-02-14 00:00:00+00:00,94
2020-02-15 00:00:00+00:00,80
2020-02-16 00:00:00+00:00,97
2020-02-17 00:00:00+00:00,94
2020-02-18 00:00:00+00:00,80
2020-02-19 00:00:00+00:00,105
2020-02-20 00:00:00+00:00,124
2020-02-21 00:00:00+00:00,125
2020-02-22 00:00:00+00:00,84
2020-02-23 00:00:00+00:00,73
2020-02-24 00:00:00+00:00,86
2020-02-25 00:00:00+00:00,95
2020-02-26 00:00:00+00:00,102
2020-02-27 00:00:00+00:00,118
2020-02-28 00:00:00+00:00,131
2020-02-29 00:00:00+00:00,122
2020-03-01 00:00:00+00:00,90
2020-03-02 00:00:00+00:00,81
2020-03-03 00:00:00+00:00,77
2020-03-04 00:00:00+00:00,91
2020-03-05 00:00:00+00:00,74
2020-03-06 00:00:00+00:00,81
2020-03-07 00:00:00+00:00,73
2020-03-08 00:00:00+00:00,78
2020-03-09 00:00:00+00:00,74
2020-03-10 00:00:00+00:00,66
2020-03-11 00:00:00+00:00,75
2020-03-12 00:00:00+00:00,67
2020-03-13 00:00:00+00:00,77
2020-03-14 00:00:00+00:00,92
2020-03-15 00:00:00+00:00,84
2020-03-16 00:00:00+00:00,88
2020-03-17 00:00:00+00:00,75
2020-03-18 00:00:00+00:00,93
2020-03-19 00:00:00+00:00,86
2020-03-20 00:00:00+00:00,100
2020-03-21 00:00:00+00:00,75
2020-03-22 00:00:00+00:00,84
2020-03-23 00:00:00+00:00,87
2020-03-24 00:00:00+00:00,79
2020-03-25 00:00:00+00:00,73
2020-03-26 00:00:00+00:00,73
2020-03-27 00:00:00+00:00,74
2020-03-28 00:00:00+00:00,34
2020-03-29 00:00:00+00:00,52
2020-03-30 00:00:00+00:00,54
2020-03-31 00:00:00+00:00,57
2020-04-01 00:00:00+00:00,73
2020-04-02 00:00:00+00:00,72
2020-04-03 00:00:00+00:00,63
2020-04-03 00:00:00+00:00,63
2020-04-03 00:00:00+00:00,63
2020-04-03 00:00:00+00:00,63
2020-04-07 00:00:00+00:00,70
2020-04-08 00:00:00+00:00,78
2020-04-09 00:00:00+00:00,91
2020-04-10 00:00:00+00:00,76
2020-04-11 00:00:00+00:00,67
2020-04-12 00:00:00+00:00,63
2020-04-13 00:00:00+00:00,62
2020-04-14 00:00:00+00:00,54
2020-04-15 00:00:00+00:00,58
2020-04-16 00:00:00+00:00,59
2020-04-17 00:00:00+00:00,74
2020-04-18 00:00:00+00:00,73
2020-04-19 00:00:00+00:00,62
2020-04-20 00:00:00+00:00,53
2020-04-21 00:00:00+00:00,54
2020-04-22 00:00:00+00:00,63
2020-04-23 00:00:00+00:00,73
2020-04-24 00:00:00+00:00,73
2020-04-25 00:00:00+00:00,60
2020-04-26 00:00:00+00:00,68
2020-04-27 00:00:00+00:00,64
2020-04-28 00:00:00+00:00,64
2020-04-29 00:00:00+00:00,80
2020-04-30 00:00:00+00:00,66
2020-05-01 00:00:00+00:00,65
2020-05-02 00:00:00+00:00,84
2020-05-03 00:00:00+00:00,50
2020-05-04 00:00:00+00:00,55
2020-05-05 00:00:00+00:00,60
2020-05-06 00:00:00+00:00,103
2020-05-07 00:00:00+00:00,79
2020-05-08 00:00:00+00:00,55
2020-05-09 00:00:00+00:00,50
